Campaign Name,Ad Name,Headline,Introductory Text,Destination URL,Image URL,Call to Action,Status
4H_2026_sawcity_retarget,LI-R4,Speed-to-response = more revenue,"In local trades, speed wins. The first business to respond usually gets the job. Saw.City helps small operators respond faster and close more opportunities from existing demand.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_speed-wins&utm_content=lic04_hk04_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,LI-R5,Fix the leak you can’t see,"You can’t fix what you can’t see. For most small trade operators, the biggest leak is invisible: missed and delayed callbacks. Saw.City helps close that gap fast.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_invisible-leak&utm_content=lic05_hk05_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Hear it live,ACTIVE
4H_2026_sawcity_retarget,LI-R6,Built for small trade operators,"You don’t need enterprise software to run a 1–10 person trade company better. You need a simple system that solves real bottlenecks. Saw.City is built to reduce friction, not add it.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_no-enterprise-bloat&utm_content=lic06_hk06_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_sawcity_retarget,LI-R1,Stop losing jobs to missed calls,"If you run a small trade business, every missed call is a real revenue leak. Saw.City helps you capture more inbound calls and turn them into booked work without adding office overhead.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_missed-calls&utm_content=lic01_hk01_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,LI-R2,Turn phone chaos into booked work,Most 1–10 person trade shops don’t lose jobs because of bad work. They lose jobs because of slow follow-up and phone tag. Saw.City helps you respond faster and convert more of the calls you already paid to get.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_phone-chaos&utm_content=lic02_hk02_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Hear it live,ACTIVE
4H_2026_sawcity_retarget,LI-R3,Your first real ops system,Still running your business on cell phone + memory + sticky notes? That works… until it costs you jobs. Saw.City is a practical first system for owner-operators who want more consistency without enterprise complexity.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_first-system&utm_content=lic03_hk03_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_electricians_awareness,LI-E2,Every missed call is a lost panel job.,Breaker trips don't wait for business hours. Neither do your competitors. An AI phone agent answers every call instantly — qualifying the lead while you finish the job you're on.,https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_never-miss&utm_content=lie02_hk02_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,Start free,ACTIVE
4H_2026_electricians_awareness,LI-E3,Stop letting voicemail steal your jobs.,"Most electrical contractors lose 30% of inbound calls to voicemail. That's panel upgrades, service calls, and emergency outage jobs walking straight to your competitor. $79/mo fixes that.",https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_voicemail-killer&utm_content=lie03_hk03_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,Hear it,ACTIVE
4H_2026_sawcity_retarget,LI-RT-01,Finish setup. Start capturing jobs.,You already saw how Saw.City works. The only thing left is turning missed calls into booked jobs. No demo. No waiting. Start self-serve and route your first call today.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget_finish-setup&utm_content=rtc01_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,LI-RT-02,You’re one step from go-live,You’re close. Most operators finish setup in minutes and get to first handled call fast. Complete your setup now—no sales call required.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget_one-step-go-live&utm_content=rtc02_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
