Campaign Name,Ad Set Name,Ad Name,Primary Text,Headline,Description,Call to Action,Destination URL,Image URL,Platform,Format,Status
4H_2026_sawcity,sawcity_awareness_facebook,FB-01,Owner-operator? This runs while you’re on the saw.,Capture more calls. Close more jobs.,AI answers your calls. $79/mo. No contracts.,Start now,https://saw.city/fb?utm_source=facebook&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_owner-operator&utm_content=fbc01_hk14_static4x5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-facebook-ad.png,facebook,static4x5,ACTIVE
4H_2026_sawcity,sawcity_awareness_facebook,FB-02,One missed call can cost more than your software all year.,Stop missing high-value calls,AI answers your calls. $79/mo. No contracts.,Hear it live,https://saw.city/fb?utm_source=facebook&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_missed-call-value&utm_content=fbc02_hk15_static4x5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-facebook-ad.png,facebook,static4x5,ACTIVE
4H_2026_sawcity,sawcity_retarget_facebook,META-RT-01,Missed calls don’t wait. Finish your Saw.City setup and capture the jobs already trying to reach you.,Stop losing work to voicemail,AI answers your calls. $79/mo. No contracts.,Start now,https://saw.city/fb?utm_source=facebook&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget_missed-call-recovery&utm_content=rtc03_meta_static4x5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-facebook-ad.png,facebook,static4x5,ACTIVE
4H_2026_sawcity,sawcity_awareness_instagram,RINSE-IG-04,"Built for operators, not software tourists.",,AI answers your calls. $79/mo. No contracts.,Start now,https://saw.city/ig?utm_source=instagram&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_operators&utm_content=rinse_igc04_hk21_reel9x16&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-instagram-ad.png,instagram,reel9x16,ACTIVE
4H_2026_sawcity,sawcity_awareness_facebook,RINSE-META-RT-02,"You did the hard part. Complete checkout, switch on your call flow, and run it while you’re in the field.",Finish in minutes,AI answers your calls. $79/mo. No contracts.,Complete setup,https://saw.city/fb?utm_source=facebook&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_retarget_checkout-recovery&utm_content=rinse_rtc04_meta_static4x5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-facebook-ad.png,facebook,static4x5,ACTIVE
4H_2026_groom,groom_awareness_instagram,GM-IG-AW-4,"$79/mo.
One answered call pays for it.
Every call after that? Pure upside. 💰

groom.city",ROI on first call.,AI answers your calls. $79/mo. No contracts.,Get it now,https://groom.city/groom?utm_source=instagram&utm_medium=paid-social&utm_campaign=4h_2026-03_groom_cost_math&utm_content=ig_aware_4&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/pet-grooming-hero.png,instagram,square,ACTIVE
4H_2026_groom,groom_awareness_instagram,GM-IG-AW-5,"You're grooming. Let AI handle the phones. 🤖📞

Professional AI answering for your grooming studio.
groom.city — $79/mo.",You focus. AI answers.,AI answers your calls. $79/mo. No contracts.,See it live,https://groom.city/groom?utm_source=instagram&utm_medium=paid-social&utm_campaign=4h_2026-03_groom_ai_answers&utm_content=ig_aware_5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/pet-grooming-hero.png,instagram,square,ACTIVE
4H_2026_groom,groom_awareness_instagram,GM-IG-RT-1,"You saw groom.city. 👀

Trade owners using AI answering are booking more jobs with less stress.

Still on the fence? $79/mo. Cancel anytime.",Others are using it. Are you?,AI answers your calls. $79/mo. No contracts.,Start free,https://groom.city/groom?utm_source=instagram&utm_medium=paid-social&utm_campaign=4h_2026-03_groom_social_proof&utm_content=ig_retarget_1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/pet-grooming-hero.png,instagram,square,ACTIVE
4H_2026_sawcity,sawcity_awareness_facebook,FB-03,Set it up once. Let it run every day.,Go live in minutes,AI answers your calls. $79/mo. No contracts.,Go live today,https://saw.city/fb?utm_source=facebook&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_go-live&utm_content=fbc03_hk16_static4x5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-facebook-ad.png,facebook,static4x5,ACTIVE
4H_2026_sawcity,sawcity_awareness_facebook,FB-04,"Built for field chaos, not office fantasy.",Field-proof by design,AI answers your calls. $79/mo. No contracts.,Start now,https://saw.city/fb?utm_source=facebook&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_field-proof&utm_content=fbc04_hk17_static4x5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-facebook-ad.png,facebook,static4x5,ACTIVE
