Campaign Name,Ad Group Name,Ad Name,Final URL,Headline 1,Headline 2,Description 1,Description 2,Call to Action,Video Script,Status
4H_2026_YouTube_sawcity,sawcity_video,YT-01,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_missed-call-tax&utm_content=ytc01_hk07_video30&utm_term=owners_1-10,Missed Call Tax,AI answers your trade calls,Every missed call is a hidden tax on your business. Saw.City helps you capture those calls,$79/mo. No contracts. See it live.,Start now,"Every missed call is a hidden tax on your business. Saw.City helps you capture those calls, route them faster, and turn chaos into booked work. No long setup. No sales call. Start now and hear it live.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-02,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_jobsite-reality&utm_content=ytc02_hk08_video30&utm_term=owners_1-10,Jobsite Reality,AI answers your trade calls,You’re on the job. Phone rings. You miss it. Job gone. Saw.City is built for that exact re,$79/mo. No contracts. See it live.,Go live today,You’re on the job. Phone rings. You miss it. Job gone. Saw.City is built for that exact reality. Set it up fast. Test it today. Keep your pipeline moving.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-03,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_voicemail-loss&utm_content=ytc03_hk09_video15&utm_term=owners_1-10,Fast Hook,AI answers your trade calls,Still losing jobs to voicemail? Saw.City helps field teams capture more opportunities with,$79/mo. No contracts. See it live.,Hear it live,Still losing jobs to voicemail? Saw.City helps field teams capture more opportunities without adding office overhead.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-R4A,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_revenue-protection&utm_content=ytc04_hk10_video15&utm_term=owners_1-10,Revenue Protection,AI answers your trade calls,Missed calls become missed jobs. Saw.City helps small trade operators capture more inbound,$79/mo. No contracts. See it live.,Start now,Missed calls become missed jobs. Saw.City helps small trade operators capture more inbound opportunities and convert faster—without adding office payroll.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-R4B,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_first-system&utm_content=ytc05_hk11_video15&utm_term=owners_1-10,First-System Positioning,AI answers your trade calls,"If you're a 1–10 person trade shop, you don't need enterprise software. You need one simpl",$79/mo. No contracts. See it live.,Go live today,"If you're a 1–10 person trade shop, you don't need enterprise software. You need one simple system that captures calls and keeps jobs moving.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-R4C,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_speed-to-lead&utm_content=ytc06_hk12_video15&utm_term=owners_1-10,Speed-to-Lead,AI answers your trade calls,The first response usually wins the job. Saw.City helps you respond faster and close more ,$79/mo. No contracts. See it live.,Hear it live,The first response usually wins the job. Saw.City helps you respond faster and close more of the demand you already have.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-R5,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_activation_underserved-market&utm_content=ytc07_hk13_video30&utm_term=owners_1-10,Underserved Market Narrative,AI answers your trade calls,Most small trade companies don't lose work because they're bad at their trade. They lose w,$79/mo. No contracts. See it live.,Start now,"Most small trade companies don't lose work because they're bad at their trade. They lose work in the gap between the first call and the first response. Saw.City helps close that gap: capture inbound calls, route cleanly, and follow up faster. No enterprise complexity. Just practical flow for 1–10 person operators.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-RT-02,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget_self-serve-activation&utm_content=rtc06_yt_video30&utm_term=owners_1-10,Self-serve activation,AI answers your trade calls,"If you run a small trade operation, speed matters. You already started with Saw.City—now c",$79/mo. No contracts. See it live.,Go live today,"If you run a small trade operation, speed matters. You already started with Saw.City—now complete setup and route your calls with a real system. No demo scheduling. No enterprise bloat. Just self-serve setup and first handled call.",ACTIVE
4H_2026_YouTube_pipe,pipe_video,YT-P1,https://pipe.city/pipe?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_missed-calls&utm_content=YT-P1&utm_term=owners_1-10,Your phone rang. You were in t,AI answers your trade calls,"[0-3s: HOOK] Your phone's ringing. You're under the house on a rough-in.
[3-8s: PROBLEM] T",$79/mo. No contracts. See it live.,Start free at pipe.city,"[0-3s: HOOK] Your phone's ringing. You're under the house on a rough-in.
[3-8s: PROBLEM] That customer? Gone. Called someone who picked up first.
[8-13s: SOLUTION] Pipe.City answers every call. Books the job. Keeps you working.
[13-15s: CTA] Start free at pipe.city.",ACTIVE
4H_2026_YouTube_pipe,pipe_video,YT-P2,https://pipe.city/pipe?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_story&utm_content=YT-P2&utm_term=owners_1-10,The call you missed at 4PM on ,AI answers your trade calls,"[0-5s: HOOK] You finished a rough-in at 4PM. Three missed calls. One voicemail: ""Hi, we ha",$79/mo. No contracts. See it live.,Start free at pipe.city,"[0-5s: HOOK] You finished a rough-in at 4PM. Three missed calls. One voicemail: ""Hi, we have water coming through the ceiling...""
[5-15s: PROBLEM] By the time you call back, they've got a plumber on the way. Emergency rate. Weekend job. Gone to the guy who answered.
[15-25s: SOLUTION] Pipe.City is your AI employee. Answers every call. Schedules emergency dispatches. Books jobs automatically while you're on the tools.
[25-30s: CTA] $79 a month. No call center. Start free at pipe.city.",ACTIVE
